id,title,author,genre,publisher,year,author_set,author_set_str,book_id,total_sold
19199,The Yellow Meads of Asphodel,Carolyne West,Classic,Mainstream Publishing,2009,frozenset({'carolyne west'}),carolyne west,19199,23
19398,From Here to Eternity,"Rep. Heath Stiedemann, Gino Welch, Haydee Larson",Short story,Vintage Books,2001,"frozenset({'rep. heath stiedemann', 'gino welch', 'haydee larson'})","gino welch,haydee larson,rep. heath stiedemann",19398,9
19483,Eyeless in Gaza,Vannessa Price,Biography/Autobiography,Pavilion Books,1886,frozenset({'vannessa price'}),vannessa price,19483,16
19506,Precious Bane,Miss Yong Wyman,Realistic fiction,New English Library,2021,frozenset({'miss yong wyman'}),miss yong wyman,19506,39
19570,City of God,Travis Moore,Suspense/Thriller,Bellevue Literary Press,1847,frozenset({'travis moore'}),travis moore,19570,17
19264,The Way of All Flesh,Matthew Breitenberg,Legend,,1987,frozenset({'matthew breitenberg'}),matthew breitenberg,19264,16
19210,3 Idiots,Julianne Keeling,Folklore,McFarland & Company,1992,frozenset({'julianne keeling'}),julianne keeling,19210,26
19536,Memento,Alina Oberbrunner,Essay,Bowes & Bowes,1982,frozenset({'alina oberbrunner'}),alina oberbrunner,19536,15
18997,Terrible Swift Sword,Roni Davis,Crime/Detective,Burns & Oates,1983,frozenset({'roni davis'}),roni davis,18997,29
19166,Myst,Laverne Lemke,Legend,Mark Batty Publisher,2002,frozenset({'laverne lemke'}),laverne lemke,19166,25
19473,That Hideous Strength,Eli Okuneva DC,Tall tale,Marshall Pickering,2024,frozenset({'eli okuneva dc'}),eli okuneva dc,19473,18
19256,Overwatch,"Everett Heller, Caroline Mayer, Camelia Huels",Mythopoeia,Parachute Publishing,1987,"frozenset({'camelia huels', 'everett heller', 'caroline mayer'})","camelia huels,caroline mayer,everett heller",19256,14
18970,Halo 4,Eli Okuneva DC,Tall tale,Black Dog Publishing,2012,frozenset({'eli okuneva dc'}),eli okuneva dc,18970,20
19326,Forrest Gump,Efren Bayer V,Fairy tale,Hawthorne Books,1997,frozenset({'efren bayer v'}),efren bayer v,19326,28
18940,Dulce et Decorum Est,Prof. Anastacia Howe,Science fiction,Cengage Learning,2025,frozenset({'prof. anastacia howe'}),prof. anastacia howe,18940,34
19459,"Look Homeward, Angel",Thurman Bruen,Crime/Detective,Ladybird Books,1985,frozenset({'thurman bruen'}),thurman bruen,19459,23
19359,Tiger! Tiger!,Nichole Wiza,Narrative nonfiction,Salt Publishing,2002,frozenset({'nichole wiza'}),nichole wiza,19359,34
19265,Happy Nation,"Fran Ritchie, Rebecca Torp",Mystery,Target Books,2021,"frozenset({'fran ritchie', 'rebecca torp'})","fran ritchie,rebecca torp",19265,17
18967,A Farewell to Arms,Basil Tremblay,Fiction in verse,Basic Books,2024,frozenset({'basil tremblay'}),basil tremblay,18967,23
19476,Million Dollar Baby,Tyler Schneider,Fairy tale,No Starch Press,2014,frozenset({'tyler schneider'}),tyler schneider,19476,27
18915,The Departed,Patience Kautzer,Fiction narrative,Faber and Faber,1987,frozenset({'patience kautzer'}),patience kautzer,18915,23
19331,Consider Phlebas,"Fr. Jeremiah Larson, Ms. Chris Paucek",Crime/Detective,E. P. Dutton,1991,"frozenset({'fr. jeremiah larson', 'ms. chris paucek'})","fr. jeremiah larson,ms. chris paucek",19331,26
19299,Nevermind,"Awilda Sauer Sr., Amos Schaden VM, Jenniffer Greenholt",Textbook,Godwit Press,1999,"frozenset({'jenniffer greenholt', 'amos schaden vm', 'awilda sauer sr.'})","amos schaden vm,awilda sauer sr.,jenniffer greenholt",19299,27
18907,Call of Duty: Modern Warfare Remastered,Hosea Monahan,Fable,T & T Clark,1980,frozenset({'hosea monahan'}),hosea monahan,18907,22
19258,The Waste Land,Alanna Mayer,Fiction in verse,Bella Books,1990,frozenset({'alanna mayer'}),alanna mayer,19258,27
19307,Sgt. Pepper's Lonely Hearts Club Band,Gov. Luella Konopelski,Folklore,HMSO,2006,frozenset({'gov. luella konopelski'}),gov. luella konopelski,19307,12
19500,Hotel California,Delbert Emmerich II,Legend,Book League of America,1984,frozenset({'delbert emmerich ii'}),delbert emmerich ii,19500,11
19145,Dangerous,Jeffrey Cassin,Crime/Detective,Darakwon Press,1972,frozenset({'jeffrey cassin'}),jeffrey cassin,19145,17
19207,Infinite Jest,"Elia Bartell, Brice Prohaska MD, Jerald Kreiger",Fiction narrative,NavPress,2014,"frozenset({'jerald kreiger', 'elia bartell', 'brice prohaska md'})","brice prohaska md,elia bartell,jerald kreiger",19207,20
18920,Stalker,Travis Moore,Folklore,Tarpaulin Sky Press,1990,frozenset({'travis moore'}),travis moore,18920,37
18839,Scarface,Jane Wiegand,Folklore,Carlton Books,2021,frozenset({'jane wiegand'}),jane wiegand,18839,17
19427,Command & Conquer: Generals,"Denisha Cassin, Del Kautzer, Garfield Blick, Olin Windler",Narrative nonfiction,Seagull Books,1984,"frozenset({'del kautzer', 'denisha cassin', 'garfield blick', 'olin windler'})","del kautzer,denisha cassin,garfield blick,olin windler",19427,23
