id,title,author,genre,publisher,year,author_set,author_set_str,book_id,total_sold
21326,Behold the Man,"Trenton Sipes, Clint Hauck VM",Reference book,Bowes & Bowes,1979,"frozenset({'trenton sipes', 'clint hauck vm'})","clint hauck vm,trenton sipes",21326,20
21546,The Deer Hunter,Norris Gusikowski,Reference book,Koren Publishers Jerusalem,1993,frozenset({'norris gusikowski'}),norris gusikowski,21546,30
21130,Snatch,Rev. Lura Jaskolski,Fable,Left Book Club,2000,frozenset({'rev. lura jaskolski'}),rev. lura jaskolski,21130,25
21287,Dial M for Murder,Miss Elmo Walsh,Textbook,Libertas Academica,1977,frozenset({'miss elmo walsh'}),miss elmo walsh,21287,13
21237,The Departed,Mario Aufderhar,Folklore,BBC Books,2015,frozenset({'mario aufderhar'}),mario aufderhar,21237,10
21133,That Hideous Strength,Ruby Schowalter,Essay,Brill Publishers,1976,frozenset({'ruby schowalter'}),ruby schowalter,21133,28
21584,A Many-Splendoured Thing,Mohammad Lynch III,Textbook,Hamish Hamilton,1978,frozenset({'mohammad lynch iii'}),mohammad lynch iii,21584,10
21269,Led Zeppelin IV,Lawana Veum,Essay,ECW Press,2007,frozenset({'lawana veum'}),lawana veum,21269,24
21197,Call of Duty: Black Ops III,"Hilario Legros I, Marco Cormier, Adrian Stroman PhD, Morton Goodwin I",Textbook,University of Michigan Press,2013,"frozenset({'adrian stroman phd', 'hilario legros i', 'morton goodwin i', 'marco cormier'})","adrian stroman phd,hilario legros i,marco cormier,morton goodwin i",21197,37
21054,Amadeus,Mrs. Dario Jaskolski,Realistic fiction,Ziff Davis Media,1997,frozenset({'mrs. dario jaskolski'}),mrs. dario jaskolski,21054,16
21013,Pok̩mon LeafGreen,Natasha Hackett,Essay,Godwit Press,1984,frozenset({'natasha hackett'}),natasha hackett,21013,33
21201,Day of the Tentacle,"Vernon Bartoletti, Leo Hessel, Brenda Gorczany, Tony Schmeler",Humor,Faber and Faber,1978,"frozenset({'vernon bartoletti', 'leo hessel', 'tony schmeler', 'brenda gorczany'})","brenda gorczany,leo hessel,tony schmeler,vernon bartoletti",21201,24
21532,Ricochet,Jaimie Skiles,Western,"Farrar, Straus & Giroux",2001,frozenset({'jaimie skiles'}),jaimie skiles,21532,27
21178,Beauty and the Beast,"Yuri Stanton, Deanne Olson LLD, Dave Dooley",Mystery,Athabasca University Press,1989,"frozenset({'dave dooley', 'yuri stanton', 'deanne olson lld'})","dave dooley,deanne olson lld,yuri stanton",21178,24
21088,Se7en,Ruby Schowalter,Suspense/Thriller,Candlewick Press,2017,frozenset({'ruby schowalter'}),ruby schowalter,21088,28
21505,Noli Me Tangere,Maxwell MacGyver,Biography/Autobiography,E. P. Dutton,2023,frozenset({'maxwell macgyver'}),maxwell macgyver,21505,13
21116,Call of Duty: World at War,"Hank Huel, Carma Mayer DC, Rev. Ben Nienow",Biography/Autobiography,Da Capo Press,1990,"frozenset({'rev. ben nienow', 'hank huel', 'carma mayer dc'})","carma mayer dc,hank huel,rev. ben nienow",21116,26
21559,The Great Dictator,Apolonia Gorczany,Mythology,Packt Publishing,2018,frozenset({'apolonia gorczany'}),apolonia gorczany,21559,13
21230,The Sting,Hai O'Reilly Jr.,Essay,HMSO,1852,"frozenset({""hai o'reilly jr.""})",hai o'reilly jr.,21230,20
21529,Mass Effect,Gonzalo Cremin III,Fantasy,Carlton Publishing Group,2021,frozenset({'gonzalo cremin iii'}),gonzalo cremin iii,21529,16
21378,His Dark Materials,"Phil Mann, Amb. Beckie Macejkovic",Speech,"Farrar, Straus & Giroux",1993,"frozenset({'phil mann', 'amb. beckie macejkovic'})","amb. beckie macejkovic,phil mann",21378,29
20980,Back in Black,Prof. Bo Spinka,Biography/Autobiography,Kessinger Publishing,2026,frozenset({'prof. bo spinka'}),prof. bo spinka,20980,18
21248,Pok̩mon Red,"Virgilio Bernier, Cristen Hessel DO",Comic/Graphic Novel,George Routledge & Sons,2009,"frozenset({'virgilio bernier', 'cristen hessel do'})","cristen hessel do,virgilio bernier",21248,18
21055,Dota 2,Marjory Crist,Fanfiction,University of Akron Press,2012,frozenset({'marjory crist'}),marjory crist,21055,25
21334,Puyo Puyo Tetris,Malik Stoltenberg,Mythopoeia,Reed Publishing,1991,frozenset({'malik stoltenberg'}),malik stoltenberg,21334,19
21490,Doom 3: BFG,Chun Shields,Textbook,Nauka,2021,frozenset({'chun shields'}),chun shields,21490,18
21495,No Longer at Ease,Gerald Altenwerth IV,Horror,Harper & Row,2001,frozenset({'gerald altenwerth iv'}),gerald altenwerth iv,21495,25
21018,Many Waters,Wilfred Bartell DVM,Comic/Graphic Novel,Virgin Publishing,2024,frozenset({'wilfred bartell dvm'}),wilfred bartell dvm,21018,17
21165,Kirby's Epic Yarn,Thomas Collier,Classic,Atlantic Books,,frozenset({'thomas collier'}),thomas collier,21165,17
21554,The Moving Finger,Rosalee Romaguera,Humor,Heyday Books,1873,frozenset({'rosalee romaguera'}),rosalee romaguera,21554,16
20981,Terminator 2: Judgment Day,Breanne McCullough,Suspense/Thriller,Tarpaulin Sky Press,2016,frozenset({'breanne mccullough'}),breanne mccullough,20981,22
21257,Call of Duty: Black Ops,Jose O'Kon IV,Fairy tale,Applewood Books,2008,"frozenset({""jose o'kon iv""})",jose o'kon iv,21257,18
21548,The Lord of the Rings: The Two Towers,Breanne McCullough,Classic,Felony & Mayhem Press,1978,frozenset({'breanne mccullough'}),breanne mccullough,21548,24
21352,Call of Duty: World at War,"Hank Huel, Carma Mayer DC, Rev. Ben Nienow",Biography/Autobiography,Virgin Publishing,1992,"frozenset({'rev. ben nienow', 'hank huel', 'carma mayer dc'})","carma mayer dc,hank huel,rev. ben nienow",21352,32
21616,12 Angry Men,Son Schuster,Science fiction,Palgrave Macmillan,2008,frozenset({'son schuster'}),son schuster,21616,27
21539,Endless Night,"Hershel Treutel, Miss Modesto Denesik, Sen. Trula Bosco",Fiction in verse,Elsevier,2008,"frozenset({'hershel treutel', 'miss modesto denesik', 'sen. trula bosco'})","hershel treutel,miss modesto denesik,sen. trula bosco",21539,28
20977,Alien,Terese Carter,Mystery,Eerdmans Publishing,1993,frozenset({'terese carter'}),terese carter,20977,27
21000,Cover Her Face,Tony Schmeler,Mythology,Dalkey Archive Press,1980,frozenset({'tony schmeler'}),tony schmeler,21000,18
21166,Oops!... I Did It Again,Kelle Lubowitz,Fanfiction,Andrews McMeel Publishing,1976,frozenset({'kelle lubowitz'}),kelle lubowitz,21166,8
